vlax1238	IE.INDIC.VLAX_ROMANI
assa1263	IE.INDIC.ASSAMESE
aves1237	IE.IRANIAN.AVESTAN
awad1243	
bact1239	
bagr1243	
bakh1245	IE.IRANIAN.BAKHTIARI
beng1280	IE.INDIC.BENGALI
bhoj1244	IE.INDIC.BHOJPURI
dari1249	IE.IRANIAN.EASTERN_FARSI
dhiv1236	IE.INDIC.MALDIVIAN
doma1258	IE.INDIC.NAWAR_ZUTT
doma1260	IE.INDIC.DOMAAKI
gila1241	IE.IRANIAN.GILAKI
guja1252	IE.INDIC.GUJARATI
hind1269	IE.INDIC.HINDI
osse1243	IE.IRANIAN.IRON_OSSETIAN
ishk1246	
jude1256	IE.IRANIAN.JUDEO_TAT
indu1241	IE.INDIC.KOHISTANI_INDUS
kala1372	IE.INDIC.ZUGUNUK_KALASHA
kash1277	IE.INDIC.KASHMIRI
khot1251	
khow1242	IE.INDIC.USHU_KHOWAR
khwa1238	
konk1267	IE.INDIC.KONKANI
kumz1235	IE.IRANIAN.KUMZARI
luri1257	IE.IRANIAN.LURI	?
mait1250	IE.INDIC.MAITHILI
mara1378	IE.INDIC.MARATHI_2
marw1260	IE.INDIC.MARWARI
maza1291	IE.IRANIAN.MAZANDERANI
mewa1249	
pahl1241	
midd1350	
nepa1254	IE.INDIC.NEPALI
dhun1238	
oldp1254	IE.IRANIAN.OLD_PERSIAN
oriy1255	IE.INDIC.ORIYA
ormu1247	IE.IRANIAN.ORMURI
pali1273	IE.INDIC.PALI
phal1254	IE.INDIC.PURIGAL_PHALURA
panj1256	IE.INDIC.PUNJABI_MAJHI
para1299	IE.IRANIAN.PARACHI
part1239	
pash1269	IE.IRANIAN.KANDAHAR_PASHTO
maha1305	
west2368	IE.IRANIAN.BALOCHI_WESTERN
sang1315	IE.IRANIAN.SANGISARI
sans1269	IE.INDIC.SANSKRIT
sari1246	IE.IRANIAN.SARIKOLI
saur1248	IE.INDIC.SAURASHTRA
shin1264	IE.INDIC.TANGIR_SHINA
shug1248	IE.IRANIAN.SHUGHNI
sind1272	IE.INDIC.SINDHI
sinh1246	IE.INDIC.SINHALA
sera1259	IE.INDIC.SERAIKI
sogd1245	
cent1972	IE.IRANIAN.KURDISH_CENTRAL
esht1238	
taly1247	IE.IRANIAN.TALYSH
torw1241	IE.INDIC.TORWALI
wakh1245	IE.IRANIAN.YASIN_WAKHI
yagn1238	IE.IRANIAN.YAGHNOBI
diml1238	IE.IRANIAN.ZAZAKI	