Agia_Varvara_Romani<vlax1238>	†
Assamese<assa1263>	*
Avestan<aves1237>	
Awadhi<awad1243>	*
Bactrian<bact1239>	
Bagri<bagr1243>	
Bakhtiyari<bakh1245>	*
Bengali<beng1280>	*
Bhojpuri<bhoj1244>	*
Dari<dari1249>	*†
Dhivehi<dhiv1236>	
Domari<doma1258>	
Dumaki<doma1260>	
Gilaki<gila1241>	*†
Gujarati<guja1252>	
Hindi<hind1269>	
Iron_Ossetic<osse1243>	
Ishkashimi<ishk1246>	*†
Judeo-Tati<jude1256>	
Kalam_Kohistani<indu1241>	
Kalasha<kala1372>	
Kashmiri<kash1277>	
Khotanese_Saka<khot1251>	
Khowar<khow1242>	
Khwarezmian<khwa1238>	
Konkani<konk1267>	
Kumzari<kumz1235>	*
Luri<luri1257>	
Maithili<mait1250>	*
Marathi<mara1378>	
Marwari<marw1260>	
Mazandarani<maza1291>	*†
Mewati<mewa1249>	
Middle_Persian<pahl1241>	
Modern_Persian<midd1350>	*†
Nepali<nepa1254>	*
Old_East_Rajasthani<dhun1238>	
Old_Persian<oldp1254>	
Oriya<oriy1255>	*
Ormuri<ormu1247>	*†
Pali<pali1273>	
Palula<phal1254>	
Panjabi<panj1256>	
Parachi<para1299>	
Parthian<part1239>	
Pashto<pash1269>	†
Prakrit<maha1305>	
Rakhshani_Baluchi<west2368>	
Sangesari<sang1315>	
Sanskrit<sans1269>	
Sariqoli<sari1246>	*†
Saurashtran<saur1248>	
Shina<shin1264>	
Shughni<shug1248>	
Sindhi<sind1272>	
Sinhala<sinh1246>	*
Siraiki<sera1259>	
Sogdian<sogd1245>	
Sorani_Kurdish<cent1972>	
South_Tati<esht1238>	
Taleshi<taly1247>	*†
Torwali<torw1241>	
Wakhi<wakh1245>	†
Yaghnobi<yagn1238>	†
Zazaki<diml1238>	*†